word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
make,0,0,0,0,0,0,0,0,5,0
history,0,0,0,0,0,8,0,0,0,0
century,0,0,0,0,0,24,0,0,0,0
depiction,0,0,0,0,0,1,0,0,0,0
draw,0,0,0,0,0,0,0,0,3,0
small,7,0,0,0,0,0,0,0,0,0
gathering,0,0,0,0,0,1,0,0,0,0
onlooker,0,0,0,0,0,1,0,0,0,0
inoculate,0,0,0,0,0,0,0,0,6,0
year,0,0,0,0,0,68,0,0,0,0
old,11,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,12,0,0,0,0
cowpox,0,0,0,0,0,8,0,0,0,0
virus,0,0,0,0,0,6,0,0,0,0
procedure,0,0,0,0,0,4,0,0,0,0
kind,0,0,0,0,0,3,0,0,0,0
sure,2,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,14,0,0,0,0
help,0,0,0,0,0,2,0,0,18,0
humanity,0,0,0,0,0,2,0,0,0,0
gain,0,0,0,0,0,0,0,0,2,0
place,0,0,0,0,0,3,0,0,0,0
tackle,0,0,0,0,0,0,0,0,1,0
seemingly,0,0,2,0,0,0,0,0,0,0
unstoppable,1,0,0,0,0,0,0,0,0,0
disease,0,0,0,0,0,51,0,0,0,0
yellow,7,0,0,0,0,1,0,0,0,0
fever,0,0,0,0,0,16,0,0,0,0
polio,0,0,0,0,0,8,0,0,0,0
order,0,0,0,0,0,6,0,0,1,0
create,0,0,0,0,0,0,0,0,5,0
cure,0,0,0,0,0,7,0,0,1,0
break,0,0,0,0,0,1,0,0,7,0
past,0,0,0,0,0,1,0,0,0,0
thing,0,0,0,0,0,1,0,0,0,0
especially,0,0,3,0,0,0,0,0,0,0
life,0,0,0,0,0,18,0,0,0,0
line,0,0,0,0,0,2,0,0,0,0
lead,0,0,0,0,0,1,0,0,17,0
opposition,0,0,0,0,0,1,0,0,0,0
case,0,0,0,0,0,8,0,0,0,0
young,10,0,0,0,0,0,0,0,0,0
apprentice,0,0,0,0,0,3,0,0,1,0
doctor,0,0,0,0,0,27,0,0,0,0
hear,0,0,0,0,0,0,0,0,2,0
farm,0,0,0,0,0,5,0,0,0,0
girl,0,0,0,0,0,4,0,0,0,0
tell,0,0,0,0,0,0,0,0,2,0
contract,0,0,0,0,0,0,0,0,6,0
smallpox,0,0,0,0,0,9,0,0,0,0
later,3,0,25,0,0,0,0,0,0,0
experimenting,0,0,0,0,0,1,0,0,0,0
notion,0,0,0,0,0,2,0,0,0,0
resistance,0,0,0,0,0,1,0,0,0,0
base,0,0,0,0,0,1,0,0,4,0
prior,1,0,0,0,0,0,0,0,0,0
exposure,0,0,0,0,0,1,0,0,0,0
go,0,0,0,0,0,0,0,0,16,0
far,0,0,2,0,0,0,0,0,0,0
inject,0,0,0,0,0,0,0,0,6,0
healthy,6,0,0,0,0,0,0,0,0,0
month,0,0,0,0,0,8,0,0,0,0
expose,0,0,0,0,0,0,0,0,4,0
experiment,0,0,0,0,0,5,0,0,1,0
meet,0,0,0,0,0,0,0,0,9,0
scorn,0,0,0,0,0,1,0,0,1,0
incredulity,0,0,0,0,0,1,0,0,0,0
work,0,0,0,0,0,36,0,0,20,0
time,0,0,0,0,0,33,0,0,0,0
start,0,0,0,0,0,0,0,0,3,0
preventative,1,0,0,0,0,0,0,0,0,0
method,0,0,0,0,0,11,0,0,0,0
give,0,0,0,0,0,0,0,0,9,0
familiar,1,0,0,0,0,0,0,0,0,0
vaccination,0,0,0,0,0,4,0,0,0,0
medical,55,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,2,0,0,0,0
basic,3,0,0,0,0,0,0,0,0,0
insist,0,0,0,0,0,0,0,0,1,0
cleanliness,0,0,0,0,0,2,0,0,0,0
notice,0,0,0,0,0,0,0,0,3,0
simple,3,0,0,0,0,0,0,0,0,0
act,0,0,0,0,0,1,0,0,2,0
wash,0,0,0,0,0,0,0,0,2,0
hand,0,0,0,0,0,2,0,0,0,0
stop,0,0,0,0,0,0,0,0,3,0
spread,0,0,0,0,0,1,0,0,5,0
infection,0,0,0,0,0,10,0,0,0,0
elementary,1,0,0,0,0,0,0,0,0,0
revolutionary,1,0,0,0,0,0,0,0,0,0
contribution,0,0,0,0,0,4,0,0,0,0
hungarian,2,0,0,0,0,0,0,0,0,0
physician,0,0,0,0,0,53,0,0,0,0
maintain,0,0,0,0,0,0,0,0,5,0
sanitary,3,0,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,7,0,0,0,0
english,5,0,0,0,0,0,0,0,0,0
nurse,0,0,0,0,0,8,0,0,0,0
champion,0,0,0,0,0,0,0,0,1,0
military,3,0,0,0,0,1,0,0,0,0
hospital,0,0,0,0,0,17,0,0,0,0
troop,0,0,0,0,0,3,0,0,0,0
war,0,0,0,0,0,8,0,0,0,0
extremely,0,0,1,0,0,0,0,0,0,0
challenging,1,0,0,0,0,0,0,0,0,0
soldier,0,0,0,0,0,5,0,0,0,0
die,0,0,0,0,0,0,0,0,44,0
result,0,0,0,0,0,5,0,0,0,0
battlefield,0,0,0,0,0,1,0,0,0,0
wound,0,0,0,0,0,11,0,0,5,0
rigorous,1,0,0,0,0,0,0,0,0,0
insistence,0,0,0,0,0,1,0,0,0,0
regulation,0,0,0,0,0,2,0,0,0,0
introduction,0,0,0,0,0,1,0,0,0,0
special,4,0,0,0,0,0,0,0,0,0
diet,0,0,0,0,0,2,0,0,0,0
bring,0,0,0,0,0,0,0,0,7,0
death,0,0,0,0,0,18,0,0,0,0
rate,0,0,0,0,0,6,0,0,0,0
percent,0,0,0,0,0,2,0,0,0,0
renowned,1,0,0,0,0,0,0,0,0,0
german,8,0,0,0,0,0,0,0,0,0
public,11,0,0,0,0,0,0,0,0,0
proper,1,0,0,0,0,0,0,0,0,0
hygiene,0,0,0,0,0,4,0,0,0,0
crusade,0,0,0,0,0,1,0,0,0,0
design,0,0,0,0,0,2,0,0,2,0
sewage,0,0,0,0,0,2,0,0,0,0
system,0,0,0,0,0,7,0,0,0,0
capital,0,0,0,0,0,1,0,0,0,0
succeed,0,0,0,0,0,0,0,0,5,0
motto,0,0,0,0,0,1,0,0,0,0
french,8,0,0,0,0,0,0,0,0,0
chemist,0,0,0,0,0,3,0,0,0,0
well,0,0,2,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,20,0
discovery,0,0,0,0,0,15,0,0,0,0
pasteurization,0,0,0,0,0,3,0,0,0,0
process,0,0,0,0,0,8,0,0,1,0
turn,0,0,0,0,0,0,0,0,3,0
attention,0,0,0,0,0,3,0,0,0,0
rabies,0,0,0,0,0,10,0,0,0,0
begin,0,0,0,0,0,0,0,0,23,0
careful,2,0,0,0,0,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,2,0
trial,0,0,0,0,0,1,0,0,0,0
attempt,0,0,0,0,0,1,0,0,1,0
halt,0,0,0,0,0,0,0,0,3,0
development,0,0,0,0,0,5,0,0,0,0
infected,3,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,22,0,0,0,0
eventually,0,0,5,0,0,0,0,0,0,0
dog,0,0,0,0,0,12,0,0,0,0
happen,0,0,0,0,0,0,0,0,3,0
number,0,0,0,0,0,5,0,0,0,0
resurface,0,0,0,0,0,0,0,0,1,0
regard,0,0,0,0,0,1,0,0,1,0
bite,0,0,0,0,0,0,0,0,5,0
rabid,3,0,0,0,0,0,0,0,0,0
reluctant,1,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,3,0
remedy,0,0,0,0,0,4,0,0,0,0
human,15,0,0,0,0,4,0,0,0,0
fervent,1,0,0,0,0,0,0,0,0,0
request,0,0,0,0,0,3,0,0,0,0
mother,0,0,0,0,0,4,0,0,0,0
heal,0,0,0,0,0,0,0,0,2,0
appear,0,0,0,0,0,0,0,0,7,0
save,0,0,0,0,0,0,0,0,3,0
reader,0,0,0,0,0,1,0,0,0,0
travel,0,0,0,0,0,1,0,0,4,0
book,0,0,0,0,0,16,0,0,0,0
healer,0,0,0,0,0,2,0,0,0,0
age,0,0,0,0,0,5,0,0,0,0
discover,0,0,0,0,0,0,0,0,19,0
tidbit,0,0,0,0,0,1,0,0,0,0
profile,0,0,0,0,0,1,0,0,1,0
challenge,0,0,0,0,0,0,0,0,2,0
duel,0,0,0,0,0,1,0,0,0,0
chancellor,0,0,0,0,0,1,0,0,0,0
famous,7,0,0,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,7,0
great,18,0,0,0,0,0,0,0,0,0
granddaughter,0,0,0,0,0,2,0,0,0,0
arrest,0,0,0,0,0,0,0,0,2,0
jail,0,0,0,0,0,1,0,0,1,0
effort,0,0,0,0,0,3,0,0,0,0
educate,0,0,0,0,0,0,0,0,5,0
woman,0,0,0,0,0,17,0,0,0,0
birth,0,0,0,0,0,6,0,0,0,0
control,0,0,0,0,0,10,0,0,4,0
psychiatrist,0,0,0,0,0,3,0,0,0,0
come,0,0,0,0,0,0,0,0,11,0
ubiquitous,1,0,0,0,0,0,0,0,0,0
personality,0,0,0,0,0,3,0,0,0,0
designation,0,0,0,0,0,1,0,0,0,0
introvert,0,0,0,0,0,2,0,0,0,0
extrovert,0,0,0,0,0,2,0,0,0,0
nope,0,0,0,0,1,0,0,0,0,0
mythic,1,0,0,0,0,0,0,0,0,0
greek,10,0,0,0,0,0,0,0,0,0
god,0,0,0,0,0,10,0,0,0,0
medicine,0,0,0,0,0,46,0,0,0,0
father,0,0,0,0,0,11,0,0,0,0
inspire,0,0,0,0,0,0,0,0,2,0
maverick,1,0,0,0,0,1,0,0,0,0
world,0,0,0,0,0,14,0,0,0,0
penicillin,0,0,0,0,0,5,0,0,0,0
leadership,0,0,0,0,0,3,0,0,0,0
avert,0,0,0,0,0,0,0,0,2,0
widespread,1,0,0,0,0,0,0,0,0,0
outbreak,0,0,0,0,0,9,0,0,0,0
deadly,4,0,0,0,0,0,0,0,0,0
classical,3,0,0,0,0,0,0,0,0,0
today,0,0,0,0,0,1,0,0,0,0
present,0,0,0,0,0,1,0,0,3,0
clear,1,0,0,0,0,0,0,0,0,0
concise,1,0,0,0,0,0,0,0,0,0
captivating,1,0,0,0,0,0,0,0,0,0
compendium,0,0,0,0,0,1,0,0,0,0
improve,0,0,0,0,0,0,0,0,9,0
health,0,0,0,0,0,13,0,0,0,0
welfare,0,0,0,0,0,1,0,0,0,0
million,0,0,0,0,0,3,1,0,0,0
son,0,0,0,0,0,9,0,0,0,0
healing,0,0,0,0,0,3,0,0,0,0
truth,0,0,0,0,0,1,0,0,0,0
prophecy,0,0,0,0,0,1,0,0,0,0
mortal,1,0,0,0,0,1,0,0,0,0
princess,0,0,0,0,0,1,0,0,0,0
centaur,0,0,0,0,0,1,0,0,0,0
teach,0,0,0,0,0,0,0,0,7,0
art,0,0,0,0,0,1,0,0,0,0
length,0,0,0,0,0,2,0,0,0,0
king,0,0,0,0,0,4,0,0,0,0
afraid,1,0,0,0,0,0,0,0,0,0
render,0,0,0,0,0,0,0,0,1,0
man,0,0,0,0,0,6,0,0,0,0
immortal,1,0,0,0,0,0,0,0,0,0
slay,0,0,0,0,0,0,0,0,2,0
thunderbolt,0,0,0,0,0,2,0,0,0,0
monstrous,1,0,0,0,0,0,0,0,0,0
eyed,1,0,0,0,0,0,0,0,0,0
giant,0,0,0,0,0,1,0,0,0,0
force,0,0,0,0,0,2,0,0,3,0
serve,0,0,0,0,0,0,0,0,26,0
word,0,0,0,0,0,1,0,0,0,0
panacea,0,0,0,0,0,1,0,0,0,0
nonexistent,1,0,0,0,0,0,0,0,0,0
illness,0,0,0,0,0,2,0,0,0,0
practice,0,0,0,0,0,11,0,0,6,0
conducive,1,0,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,4,0,0,0,0
mention,0,0,0,0,0,0,0,0,2,0
skillful,2,0,0,0,0,0,0,0,0,0
late,7,0,2,0,0,0,0,0,0,0
honor,0,0,0,0,0,4,0,0,3,0
hero,0,0,0,0,0,1,0,0,0,0
worship,0,0,0,0,0,0,0,0,3,0
cult,0,0,0,0,0,3,0,0,0,0
part,0,0,0,0,0,1,0,0,0,0
suppose,0,0,0,0,0,0,0,0,1,0
effect,0,0,0,0,0,3,0,0,1,0
sick,3,0,0,0,0,0,0,0,0,0
dream,0,0,0,0,0,2,0,0,1,0
sleep,0,0,0,0,0,0,0,0,4,0
temple,0,0,0,0,0,2,0,0,0,0
common,1,0,0,0,0,0,0,0,0,0
bce,0,0,0,0,0,6,0,0,0,0
caduceus,0,0,0,0,0,2,0,0,0,0
left,0,0,1,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,3,0
symbol,0,0,0,0,0,3,0,0,0,0
staff,0,0,0,0,0,8,0,0,2,0
right,0,0,0,0,0,3,0,0,0,0
true,3,0,0,0,0,0,0,0,0,0
emblem,0,0,0,0,0,3,0,0,0,0
frequently,0,0,4,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,2,0
stand,0,0,0,0,0,0,0,0,3,0
dress,0,0,0,0,0,0,0,0,1,0
long,3,0,3,0,0,0,0,0,0,0
cloak,0,0,0,0,0,1,0,0,0,0
bare,1,0,0,0,0,0,0,0,0,0
breast,0,0,0,0,0,1,0,0,0,0
usual,1,0,0,0,0,0,0,0,0,0
attribute,0,0,0,0,0,1,0,0,1,0
serpent,0,0,0,0,0,3,0,0,0,0
coil,0,0,0,0,0,0,0,0,1,0
sacred,1,0,0,0,0,0,0,0,0,0
symbolize,0,0,0,0,0,0,0,0,1,0
renewal,0,0,0,0,0,1,0,0,0,0
youth,0,0,0,0,0,3,0,0,0,0
cast,0,0,0,0,0,0,0,0,1,0
skin,0,0,0,0,0,1,0,0,0,0
similar,2,0,0,0,0,0,0,0,0,0
unrelated,1,0,0,0,0,0,0,0,0,0
winged,1,0,0,0,0,0,0,0,0,0
intertwine,0,0,0,0,0,0,0,0,2,0
relevance,0,0,0,0,0,1,0,0,0,0
magic,4,0,0,0,0,0,0,0,0,0
wand,0,0,0,0,0,1,0,0,0,0
messenger,0,0,0,0,0,1,0,0,0,0
patron,0,0,0,0,0,1,0,0,0,0
trade,0,0,0,0,0,2,0,0,0,0
chief,5,0,0,0,0,1,0,0,0,0
minister,0,0,0,0,0,5,0,0,1,0
sage,0,0,0,0,0,2,0,0,0,0
astrologer,0,0,0,0,0,1,0,0,0,0
egyptian,3,0,0,0,0,0,0,0,0,0
reign,0,0,0,0,0,0,0,0,2,0
identify,0,0,0,0,0,0,0,0,6,0
consider,0,0,0,0,0,0,0,0,7,0
architect,0,0,0,0,0,1,0,0,0,0
step,0,0,0,0,0,2,0,0,0,0
pyramid,0,0,0,0,0,1,0,0,0,0
necropolis,0,0,0,0,0,1,0,0,0,0
contemporary,1,0,0,0,0,1,0,0,0,0
account,0,0,0,0,0,2,0,0,0,0
find,0,0,0,0,0,0,0,0,13,0
refer,0,0,0,0,0,0,0,0,5,0
ancient,6,0,0,0,0,0,0,0,0,0
document,0,0,0,0,0,2,0,0,1,0
illustrate,0,0,0,0,0,0,0,0,1,0
society,0,0,0,0,0,5,0,0,0,0
soothsayer,0,0,0,0,0,1,0,0,0,0
pharaoh,0,0,0,0,0,1,0,0,0,0
court,0,0,0,0,0,4,0,0,0,0
nation,0,0,0,0,0,1,0,0,0,0
reputation,0,0,0,0,0,5,0,0,0,0
genius,0,0,0,0,0,2,0,0,0,0
position,0,0,0,0,0,9,0,0,0,0
training,0,0,0,0,0,4,0,0,0,0
scribe,0,0,0,0,0,1,0,0,0,0
demigod,0,0,0,0,0,1,0,0,0,0
strong,2,0,0,0,0,0,0,0,0,0
indication,0,0,0,0,0,1,0,0,0,0
considerable,1,0,0,0,0,0,0,0,0,0
skill,0,0,0,0,0,2,0,0,0,0
persian,2,0,0,0,0,0,0,0,0,0
conquest,0,0,0,0,0,1,0,0,0,0
elevate,0,0,0,0,0,0,0,0,2,0
deity,0,0,0,0,0,1,0,0,0,0
replace,0,0,0,0,0,0,0,0,3,0
triad,0,0,0,0,0,1,0,0,0,0
share,0,0,0,0,0,1,0,0,3,0
mythological,1,0,0,0,0,0,0,0,0,0
parent,0,0,0,0,0,5,0,0,0,0
creator,0,0,0,0,0,1,0,0,0,0
universe,0,0,0,0,0,1,0,0,0,0
goddess,0,0,0,0,0,1,0,0,0,0
pestilence,0,0,0,0,0,1,0,0,0,0
reach,0,0,0,0,0,1,0,0,1,0
zenith,0,0,0,0,0,1,0,0,0,0
greco,1,0,0,0,0,0,0,0,0,0
roman,3,0,0,0,0,0,0,0,0,0
island,0,0,0,0,0,6,0,0,0,0
crowd,0,0,0,0,0,0,0,0,1,0
sufferer,0,0,0,0,0,1,0,0,0,0
pray,0,0,0,0,0,0,0,0,1,0
conviction,0,0,0,0,0,1,0,0,0,0
reveal,0,0,0,0,0,0,0,0,1,0
dynasty,0,0,0,0,0,1,0,0,0,0
attain,0,0,0,0,0,0,0,0,1,0
total,2,0,0,0,0,0,0,0,0,0
deification,0,0,0,0,0,1,0,0,0,0
hold,0,0,0,0,0,0,0,0,5,0
esteem,0,0,0,0,0,1,0,0,0,0
like,0,2,0,0,0,0,0,0,0,0
eminent,2,0,0,0,0,0,0,0,0,0
british,8,0,0,0,0,0,0,0,0,0
practitioner,0,0,0,0,0,1,0,0,0,0
figure,0,0,0,0,0,3,0,0,0,0
clearly,0,0,2,0,0,0,0,0,0,0
mist,0,0,0,0,0,1,0,0,0,0
antiquity,0,0,0,0,0,1,0,0,0,0
associate,2,0,0,0,0,0,0,0,3,0
write,0,0,0,0,0,0,0,0,14,0
set,0,0,0,0,0,0,0,0,3,0
forth,0,1,1,0,0,0,0,0,0,0
obligation,0,0,0,0,0,1,0,0,0,0
ideal,1,0,0,0,0,1,0,0,0,0
ethic,0,0,0,0,0,1,0,0,0,0
modify,0,0,0,0,0,0,0,0,3,0
form,0,0,0,0,0,8,0,0,4,0
oath,0,0,0,0,0,1,0,0,0,0
require,0,0,0,0,0,0,0,0,3,0
student,0,0,0,0,0,13,0,0,0,0
graduation,0,0,0,0,0,3,0,0,0,0
little,2,0,1,0,0,0,0,0,0,0
philosopher,0,0,0,0,0,5,0,0,0,0
dialogue,0,0,0,0,0,1,0,0,0,0
lifetime,0,0,0,0,0,3,0,0,0,0
teacher,0,0,0,0,0,5,0,0,0,0
widely,0,0,4,0,0,0,0,0,0,0
teaching,0,0,0,0,0,4,0,0,0,0
presumably,0,0,1,0,0,0,0,0,0,0
school,0,0,0,0,0,25,0,0,1,0
probably,0,0,6,0,0,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,1,0
family,0,0,0,0,0,11,0,0,0,0
produce,0,0,0,0,0,0,0,0,4,0
generation,0,0,0,0,0,2,0,0,0,0
say,0,0,0,0,0,0,0,0,4,0
politic,0,0,0,0,0,1,0,0,0,0
call,0,0,0,0,0,0,0,0,10,0
body,0,0,0,0,0,14,0,0,0,0
writing,0,0,0,0,0,8,0,0,0,0
ascribe,0,0,0,0,0,0,0,0,1,0
actually,0,0,1,0,0,0,0,0,0,0
preserve,0,0,0,0,0,0,0,0,1,0
early,6,0,3,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,3,0
copy,0,0,0,0,0,3,0,0,1,0
date,0,0,0,0,0,0,0,0,1,0
differ,0,0,0,0,0,0,0,0,1,0
greatly,0,0,3,0,0,0,0,0,0,0
opinion,0,0,0,0,0,2,0,0,0,0
express,0,0,0,0,0,0,0,0,3,0
type,0,0,0,0,0,4,0,0,0,0
intend,0,0,0,0,0,0,0,0,1,0
user,0,0,0,0,0,1,0,0,0,0
assistant,3,0,0,0,0,9,0,0,0,0
layman,0,0,0,0,0,1,0,0,0,0
philosophical,2,0,0,0,0,0,0,0,0,0
generally,0,0,1,0,0,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,4,0
library,0,0,0,0,0,2,0,0,0,0
ship,0,0,0,0,0,0,0,0,1,0
title,0,0,0,0,0,3,0,0,0,0
head,0,0,0,0,0,11,0,0,5,0
aphorism,0,0,0,0,0,1,0,0,0,0
epidemic,0,0,0,0,0,7,0,0,0,0
pharmacologist,0,0,0,0,0,1,0,0,0,0
volume,0,0,0,0,0,1,0,0,0,0
treatise,0,0,0,0,0,4,0,0,0,0
derive,0,0,0,0,0,0,0,0,1,0
plant,0,0,0,0,0,5,0,0,0,0
mineral,0,0,0,0,0,3,0,0,0,0
milk,0,0,0,0,0,3,0,0,0,0
honey,0,0,0,0,0,2,0,0,0,0
cannabis,0,0,0,0,0,1,0,0,0,0
marijuana,0,0,0,0,0,1,0,0,0,0
peppermint,0,0,0,0,0,1,0,0,0,0
mercury,0,0,0,0,0,2,0,0,0,0
arsenic,0,0,0,0,0,4,0,0,0,0
calcium,0,0,0,0,0,2,0,0,0,0
opium,0,0,0,0,0,2,0,0,0,0
foremost,3,0,0,0,0,0,0,0,0,0
source,0,0,0,0,0,1,0,0,0,0
modern,17,0,0,0,0,0,0,0,0,0
botanical,1,0,0,0,0,0,0,0,0,0
terminology,0,0,0,0,0,1,0,0,0,0
pharmacological,1,0,0,0,0,0,0,0,0,0
text,0,0,0,0,0,5,0,0,0,0
surgeon,0,0,0,0,0,27,0,0,0,0
army,0,0,0,0,0,7,0,0,0,0
emperor,0,0,0,0,0,4,0,0,0,0
provide,0,0,0,0,0,0,0,0,11,0
opportunity,0,0,0,0,0,4,0,0,0,0
study,0,0,0,0,0,24,0,0,31,0
feature,0,0,0,0,0,1,0,0,0,0
distribution,0,0,0,0,0,1,0,0,0,0
medicinal,2,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,3,0,0,0,0
excellent,1,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,4,0,0,0,0
nearly,0,0,4,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,3,0
deal,0,0,0,0,0,2,0,0,5,0
approximately,0,0,1,0,0,0,0,0,0,0
drug,0,0,0,0,0,8,0,0,0,0
dietetic,1,0,0,0,0,0,0,0,0,0
value,0,0,0,0,0,2,0,0,0,0
derivative,0,0,0,0,0,1,0,0,0,0
describe,0,0,0,0,0,0,0,0,6,0
second,2,0,0,0,0,1,0,0,0,0
synopsis,0,0,0,0,0,1,0,0,0,0
chemical,3,0,0,0,0,1,0,0,0,0
direction,0,0,0,0,0,1,0,0,0,0
preparation,0,0,0,0,0,1,0,0,0,0
cinnabar,0,0,0,0,0,1,0,0,0,0
auripigmentum,0,0,0,0,0,1,0,0,0,0
sulfide,0,0,0,0,0,1,0,0,0,0
acetate,0,0,0,0,0,1,0,0,0,0
hydrate,0,0,0,0,0,1,0,0,0,0
copper,0,0,0,0,0,1,0,0,0,0
oxide,0,0,0,0,0,1,0,0,0,0
fifth,1,0,0,0,0,0,0,0,0,0
potion,0,0,0,0,0,1,0,0,0,0
prepare,0,0,0,0,0,0,0,0,4,0
mandragora,0,0,0,0,0,1,0,0,0,0
mandrake,0,0,0,0,0,1,0,0,0,0
picture,0,0,0,0,0,1,0,0,2,0
surgical,4,0,0,0,0,0,0,0,0,0
anesthetic,0,0,0,0,0,1,0,0,0,0
illustrated,1,0,0,0,0,0,0,0,0,0
entry,0,0,0,0,0,1,0,0,0,0
believe,0,0,0,0,0,0,0,0,3,0
magical,1,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,4,0,0,0,0
fork,0,0,0,0,0,0,0,0,1,0
root,0,0,0,0,0,1,0,0,0,0
resemble,0,0,0,0,0,0,0,0,1,0
